Country Code,Year,GDP_percentage,Running total
ABW,1986,0,0
ABW,1987,16.26394074,16.26394074
ABW,1988,18.86627814,35.13021888
ABW,1989,11.67157257,46.80179145
ABW,1990,2.19580451,48.99759596
ABW,1991,4.539317283,53.53691324
ABW,1992,2.370641508,55.90755475
ABW,1993,4.092614763,60.00016951
ABW,1994,4.800351995,64.80052151
ABW,1995,-0.567201754,64.23331976
ABW,1996,-1.830023738,62.40329602
ABW,1997,3.854744451,66.25804047
ABW,1998,-1.027089526,65.23095094
ABW,1999,-1.689536653,63.54141429
ABW,2000,4.918353851,68.45976814
ABW,2001,2.369192993,70.82896113
ABW,2002,-2.134006061,68.69495507
ABW,2003,0.117317036,68.81227211
ABW,2004,6.318776765,75.13104887
ABW,2005,-1.379148395,73.75190048
ABW,2006,-0.049084365,73.70281611
ABW,2007,1.838730741,75.54154685
ABW,2008,0.577087557,76.11863441
ABW,2009,-12.76604288,63.35259153
ABW,2010,-3.827012996,59.52557854
ABW,2011,2.400342452,61.92592099
ABW,2012,-1.833977356,60.09194363
ABW,2013,5.635317503,65.72726113
ABW,2014,-0.709567171,65.01769396
ABW,2015,2.885166185,67.90286015
ABW,2016,1.515937914,69.41879806
ABW,2017,4.917138767,74.33593683
ABW,2018,4.738330384,79.07426721
ABW,2019,0.181216309,79.25548352
ABW,2020,-18.69832435,60.55715917
ABW,2021,17.2253004,77.78245957
AFE,1960,0,0
AFE,1961,-2.34297354,-2.34297354
AFE,1962,5.093991966,2.751018426
AFE,1963,2.330796069,5.081814495
AFE,1964,1.72402096,6.805835455
AFE,1965,2.436215279,9.242050734
AFE,1966,1.091589655,10.33364039
AFE,1967,2.36315193,12.69679232
AFE,1968,1.097494231,13.79428655
AFE,1969,2.314289909,16.10857646
AFE,1970,1.721562142,17.8301386
AFE,1971,2.415493983,20.24563258
AFE,1972,-0.686310354,19.55932223
AFE,1973,1.492383228,21.05170546
AFE,1974,2.822418812,23.87412427
AFE,1975,-1.198881748,22.67524252
AFE,1976,-0.10853394,22.56670858
AFE,1977,-1.584488714,20.98221987
AFE,1978,-1.885533006,19.09668686
AFE,1979,-0.325150875,18.77153599
AFE,1980,2.362088542,21.13362453
AFE,1981,1.251223517,22.38484805
AFE,1982,-2.531377458,19.85347059
AFE,1983,-2.75644096,17.09702963
AFE,1984,0.079514542,17.17654417
AFE,1985,-3.301846334,13.87469784
AFE,1986,-0.712220949,13.16247689
AFE,1987,1.13969351,14.3021704
AFE,1988,1.062716006,15.3648864
AFE,1989,0.057761119,15.42264752
AFE,1990,-2.846679896,12.57596763
AFE,1991,-2.583362776,9.99260485
AFE,1992,-4.494922545,5.497682305
AFE,1993,-2.945245042,2.552437263
AFE,1994,-0.618975225,1.933462038
AFE,1995,1.664402496,3.597864534
AFE,1996,2.684745114,6.282609648
AFE,1997,1.806285614,8.088895262
AFE,1998,-0.655817294,7.433077968
AFE,1999,0.09127871,7.524356678
AFE,2000,0.750783889,8.275140567
AFE,2001,1.011096486,9.286237053
